layer,position,accuracy_mean,accuracy_std
0,last_demo_token,1.000000,0.000000
1,last_demo_token,1.000000,0.000000
2,last_demo_token,1.000000,0.000000
3,last_demo_token,1.000000,0.000000
4,last_demo_token,1.000000,0.000000
5,last_demo_token,1.000000,0.000000
6,last_demo_token,1.000000,0.000000
7,last_demo_token,1.000000,0.000000
8,last_demo_token,1.000000,0.000000
9,last_demo_token,1.000000,0.000000
10,last_demo_token,1.000000,0.000000
11,last_demo_token,1.000000,0.000000
12,last_demo_token,1.000000,0.000000
13,last_demo_token,1.000000,0.000000
14,last_demo_token,1.000000,0.000000
15,last_demo_token,1.000000,0.000000
16,last_demo_token,1.000000,0.000000
17,last_demo_token,1.000000,0.000000
18,last_demo_token,1.000000,0.000000
19,last_demo_token,1.000000,0.000000
20,last_demo_token,1.000000,0.000000
21,last_demo_token,1.000000,0.000000
22,last_demo_token,1.000000,0.000000
23,last_demo_token,1.000000,0.000000
24,last_demo_token,1.000000,0.000000
25,last_demo_token,1.000000,0.000000
26,last_demo_token,1.000000,0.000000
27,last_demo_token,1.000000,0.000000
0,separator_after_demo,1.000000,0.000000
1,separator_after_demo,1.000000,0.000000
2,separator_after_demo,1.000000,0.000000
3,separator_after_demo,1.000000,0.000000
4,separator_after_demo,1.000000,0.000000
5,separator_after_demo,1.000000,0.000000
6,separator_after_demo,1.000000,0.000000
7,separator_after_demo,1.000000,0.000000
8,separator_after_demo,1.000000,0.000000
9,separator_after_demo,1.000000,0.000000
10,separator_after_demo,1.000000,0.000000
11,separator_after_demo,1.000000,0.000000
12,separator_after_demo,1.000000,0.000000
13,separator_after_demo,1.000000,0.000000
14,separator_after_demo,1.000000,0.000000
15,separator_after_demo,1.000000,0.000000
16,separator_after_demo,1.000000,0.000000
17,separator_after_demo,1.000000,0.000000
18,separator_after_demo,1.000000,0.000000
19,separator_after_demo,1.000000,0.000000
20,separator_after_demo,1.000000,0.000000
21,separator_after_demo,1.000000,0.000000
22,separator_after_demo,1.000000,0.000000
23,separator_after_demo,1.000000,0.000000
24,separator_after_demo,1.000000,0.000000
25,separator_after_demo,1.000000,0.000000
26,separator_after_demo,1.000000,0.000000
27,separator_after_demo,1.000000,0.000000
0,first_query_token,0.458333,0.025685
1,first_query_token,0.450000,0.030619
2,first_query_token,0.450000,0.030619
3,first_query_token,0.475000,0.020412
4,first_query_token,0.466667,0.025685
5,first_query_token,0.479167,0.015590
6,first_query_token,0.525000,0.020412
7,first_query_token,0.629167,0.041248
8,first_query_token,0.658333,0.042492
9,first_query_token,0.725000,0.053033
10,first_query_token,0.787500,0.051031
11,first_query_token,0.795833,0.046022
12,first_query_token,0.829167,0.041248
13,first_query_token,0.758333,0.052374
14,first_query_token,0.566667,0.015590
15,first_query_token,0.529167,0.015590
16,first_query_token,0.504167,0.015590
17,first_query_token,0.508333,0.005893
18,first_query_token,0.512500,0.010206
19,first_query_token,0.508333,0.011785
20,first_query_token,0.495833,0.005893
21,first_query_token,0.491667,0.011785
22,first_query_token,0.495833,0.005893
23,first_query_token,0.495833,0.005893
24,first_query_token,0.500000,0.000000
25,first_query_token,0.504167,0.005893
26,first_query_token,0.508333,0.005893
27,first_query_token,0.604167,0.015590
