pair,layer,condition,n_test,transfer_rate,wilson_lo,wilson_hi,boot_lo,boot_hi,preserve_rate,preserve_wilson_lo,preserve_wilson_hi
uppercase_first_letter,8,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0714
uppercase_first_letter,8,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_first_letter,8,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.02,0.0035,0.105
uppercase_first_letter,8,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.02,0.0035,0.105
uppercase_first_letter,12,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.02,0.0035,0.105
uppercase_first_letter,12,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_first_letter,12,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.02,0.0035,0.105
uppercase_first_letter,12,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.02,0.0035,0.105
uppercase_first_letter,15,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.06,0.0206,0.1622
uppercase_first_letter,15,input_only,50,0.0,0.0,0.0714,0.0,0.0,0.98,0.895,0.9965
uppercase_first_letter,15,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.06,0.0206,0.1622
uppercase_first_letter,15,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.04,0.011,0.1346
uppercase_first_letter,17,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
uppercase_first_letter,17,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_first_letter,17,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
uppercase_first_letter,17,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
uppercase_repeat_word,8,all_demo,50,0.96,0.8654,0.989,0.9,1.0,0.0,0.0,0.0714
uppercase_repeat_word,8,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_repeat_word,8,output_only,50,0.94,0.8378,0.9794,0.86,1.0,0.0,0.0,0.0714
uppercase_repeat_word,8,last_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_repeat_word,12,all_demo,50,0.26,0.1587,0.3955,0.14,0.38,0.24,0.143,0.3741
uppercase_repeat_word,12,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_repeat_word,12,output_only,50,0.18,0.0977,0.308,0.08,0.3,0.06,0.0206,0.1622
uppercase_repeat_word,12,last_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_repeat_word,15,all_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_repeat_word,15,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_repeat_word,15,output_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_repeat_word,15,last_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_repeat_word,17,all_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_repeat_word,17,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_repeat_word,17,output_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_repeat_word,17,last_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,8,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.52,0.3851,0.652
first_letter_repeat_word,8,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,8,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.34,0.2244,0.4785
first_letter_repeat_word,8,last_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,12,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.98,0.895,0.9965
first_letter_repeat_word,12,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,12,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.98,0.895,0.9965
first_letter_repeat_word,12,last_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,15,all_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,15,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,15,output_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,15,last_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,17,all_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,17,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,17,output_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
first_letter_repeat_word,17,last_demo,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_sentiment,8,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
uppercase_sentiment,8,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_sentiment,8,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
uppercase_sentiment,8,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
uppercase_sentiment,12,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.3,0.191,0.4375
uppercase_sentiment,12,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_sentiment,12,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.3,0.191,0.4375
uppercase_sentiment,12,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.3,0.191,0.4375
uppercase_sentiment,15,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.3,0.191,0.4375
uppercase_sentiment,15,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_sentiment,15,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.3,0.191,0.4375
uppercase_sentiment,15,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.3,0.191,0.4375
uppercase_sentiment,17,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.3,0.191,0.4375
uppercase_sentiment,17,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
uppercase_sentiment,17,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.3,0.191,0.4375
uppercase_sentiment,17,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.3,0.191,0.4375
linear_2x_length,8,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.02,0.0035,0.105
linear_2x_length,8,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
linear_2x_length,8,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
linear_2x_length,8,last_demo,50,0.0,0.0,0.0714,0.0,0.0,0.02,0.0035,0.105
linear_2x_length,12,all_demo,50,0.0,0.0,0.0714,0.0,0.0,0.02,0.0035,0.105
linear_2x_length,12,input_only,50,0.0,0.0,0.0714,0.0,0.0,1.0,0.9286,1.0
linear_2x_length,12,output_only,50,0.0,0.0,0.0714,0.0,0.0,0.08,0.0315,0.1884
