pair,subset_size,mean_transfer_rate,std_transfer_rate
uppercase_repeat_word,1,0.0,0.0
uppercase_repeat_word,2,0.0,0.0
uppercase_repeat_word,3,0.0,0.0
uppercase_repeat_word,4,0.005,0.015
uppercase_repeat_word,5,0.015000000000000003,0.032015621187164243
uppercase_repeat_word,7,0.03,0.07483314773547882
uppercase_repeat_word,10,0.06499999999999999,0.08077747210701756
uppercase_repeat_word,ALL,0.95,0.0
uppercase_length,1,0.0,0.0
uppercase_length,2,0.0,0.0
uppercase_length,3,0.0,0.0
uppercase_length,4,0.0,0.0
uppercase_length,5,0.01,0.02
uppercase_length,7,0.0,0.0
uppercase_length,10,0.19,0.23430749027719963
uppercase_length,ALL,0.75,0.0
repeat_word_length,1,0.0,0.0
repeat_word_length,2,0.0,0.0
repeat_word_length,3,0.0,0.0
repeat_word_length,4,0.0,0.0
repeat_word_length,5,0.0,0.0
repeat_word_length,7,0.0,0.0
repeat_word_length,10,0.045,0.08200609733428363
repeat_word_length,ALL,1.0,0.0
