pair,layer,condition,n_positions,transfer_rate,preserve_rate,neither_rate
uppercase_first_letter,8,all_demo,34,0.0,0.0,1.0
uppercase_first_letter,8,input_only,15,0.0,1.0,0.0
uppercase_first_letter,8,output_only,19,0.0,0.1,0.9
uppercase_first_letter,8,last_demo,7,0.0,0.1,0.9
uppercase_first_letter,12,all_demo,34,0.0,0.1,0.9
uppercase_first_letter,12,input_only,15,0.0,1.0,0.0
uppercase_first_letter,12,output_only,19,0.0,0.1,0.9
uppercase_first_letter,12,last_demo,7,0.0,0.1,0.9
uppercase_first_letter,14,all_demo,34,0.0,0.1,0.9
uppercase_first_letter,14,input_only,15,0.0,1.0,0.0
uppercase_first_letter,14,output_only,19,0.0,0.0,1.0
uppercase_first_letter,14,last_demo,7,0.0,0.1,0.9
uppercase_first_letter,16,all_demo,34,0.0,0.1,0.9
uppercase_first_letter,16,input_only,15,0.0,1.0,0.0
uppercase_first_letter,16,output_only,19,0.0,0.1,0.9
uppercase_first_letter,16,last_demo,7,0.0,0.1,0.9
uppercase_repeat_word,8,all_demo,34,0.9,0.0,0.1
uppercase_repeat_word,8,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,8,output_only,19,0.9,0.0,0.1
uppercase_repeat_word,8,last_demo,7,0.0,1.0,0.0
uppercase_repeat_word,12,all_demo,34,0.3,0.3,0.4
uppercase_repeat_word,12,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,12,output_only,19,0.3,0.0,0.7
uppercase_repeat_word,12,last_demo,7,0.0,1.0,0.0
uppercase_repeat_word,14,all_demo,34,0.0,1.0,0.0
uppercase_repeat_word,14,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,14,output_only,19,0.0,1.0,0.0
uppercase_repeat_word,14,last_demo,7,0.0,1.0,0.0
uppercase_repeat_word,16,all_demo,34,0.0,1.0,0.0
uppercase_repeat_word,16,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,16,output_only,19,0.0,1.0,0.0
uppercase_repeat_word,16,last_demo,7,0.0,1.0,0.0
first_letter_repeat_word,8,all_demo,30,0.0,0.4,0.6
first_letter_repeat_word,8,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,8,output_only,15,0.0,0.2,0.8
first_letter_repeat_word,8,last_demo,6,0.0,1.0,0.0
first_letter_repeat_word,12,all_demo,30,0.0,1.0,0.0
first_letter_repeat_word,12,input_only,15,0.0,1.0,0.0
