source,target,input,baseline_output,intervened_output,transferred
uppercase,first_letter,honey,h,HONEY,yes
uppercase,first_letter,frost,f,FROST,yes
uppercase,first_letter,badge,b,BADGE,yes
uppercase,first_letter,stone,s,STONE,yes
uppercase,first_letter,lemon,l,LEMON,yes
uppercase,first_letter,fjord,f,FJORD,yes
uppercase,first_letter,ivory,i,IVORY,yes
uppercase,first_letter,queen,q,QUEEN,yes
uppercase,first_letter,lunar,l,LUNAR,yes
uppercase,first_letter,youth,y,YOUTH,yes
uppercase,first_letter,noble,n,NOBLE,yes
uppercase,first_letter,dream,d,DREAM,yes
uppercase,first_letter,tower,t,TOWER,yes
uppercase,first_letter,knife,k,KNIFE,yes
uppercase,first_letter,vivid,v,VIVID,yes
uppercase,first_letter,urban,u,URBAN,yes
uppercase,first_letter,river,r,RIVER,yes
uppercase,first_letter,globe,g,GLOBE,yes
uppercase,first_letter,robin,r,ROBIN,yes
uppercase,first_letter,grape,g,GRAPE,yes
uppercase,sentiment,disgusted,negative,DISGUSTED,yes
uppercase,sentiment,depressed,negative,DEPRESSED,yes
uppercase,sentiment,gloomy,negative,GLOOMY,yes
uppercase,sentiment,bitter,negative,BITTER,yes
uppercase,sentiment,grateful,positive,GRATEFUL,yes
uppercase,sentiment,envious,negative,ENVIOUS,yes
uppercase,sentiment,inspired,positive,INSPIRED,yes
uppercase,sentiment,jealous,negative,JEALOUS,yes
uppercase,sentiment,pessimistic,negative,PESIMISTIC,no
uppercase,sentiment,confident,positive,CONFIDENT,yes
uppercase,sentiment,resentful,negative,RESENTFUL,yes
uppercase,sentiment,devastated,negative,DEVESTATED,no
uppercase,sentiment,peaceful,positive,PEACEFUL,yes
uppercase,sentiment,fearful,negative,FEARFUL,yes
uppercase,sentiment,agitated,negative,AGITATED,yes
uppercase,sentiment,serene,positive,SERENE,yes
uppercase,sentiment,loving,positive,LOVING,yes
uppercase,sentiment,amused,positive,AMUSED,yes
uppercase,sentiment,sorrowful,negative,SORROWFUL,yes
uppercase,sentiment,happy,positive,HAPPY,yes
repeat_word,first_letter,crane,c,f,no
repeat_word,first_letter,pixel,p,f,no
repeat_word,first_letter,uncle,u,f,no
repeat_word,first_letter,queen,q,f,no
repeat_word,first_letter,badge,b,f,no
repeat_word,first_letter,lunar,l,f,no
repeat_word,first_letter,house,h,f,no
repeat_word,first_letter,grape,g,f,no
repeat_word,first_letter,wheat,w,f,no
repeat_word,first_letter,knife,k,f,no
repeat_word,first_letter,kayak,k,f,no
repeat_word,first_letter,river,r,f,no
repeat_word,first_letter,urban,u,f,no
repeat_word,first_letter,eagle,e,f,no
repeat_word,first_letter,youth,y,f,no
repeat_word,first_letter,fjord,f,f,no
repeat_word,first_letter,index,i,f,no
repeat_word,first_letter,zebra,z,f,no
repeat_word,first_letter,honey,h,f,no
repeat_word,first_letter,trend,t,f,no
pattern_completion,repeat_word,honey,honey honey,honey honey,yes
pattern_completion,repeat_word,frost,frost frost,frost frost,yes
pattern_completion,repeat_word,badge,badge badge,badge badge,yes
pattern_completion,repeat_word,stone,stone stone,stone stone,yes
pattern_completion,repeat_word,lemon,lemon lemon,lemon lemon,yes
pattern_completion,repeat_word,fjord,fjord fjord,fjord fjord,yes
pattern_completion,repeat_word,ivory,ivory ivory,ivory ivory,yes
pattern_completion,repeat_word,queen,queen queen,queen queen,yes
pattern_completion,repeat_word,lunar,lunar lunar,lunar lunar,yes
pattern_completion,repeat_word,youth,youth youth,youth youth,yes
pattern_completion,repeat_word,noble,noble noble,noble noble,yes
pattern_completion,repeat_word,dream,dream dream,dream dream,yes
pattern_completion,repeat_word,tower,tower tower,tower tower,yes
pattern_completion,repeat_word,knife,knife knife,knife knife,yes
pattern_completion,repeat_word,vivid,vivid vivid,vivid vivid,yes
pattern_completion,repeat_word,urban,urban urban,urban urban,yes
pattern_completion,repeat_word,river,river river,river river,yes
pattern_completion,repeat_word,globe,globe globe,globe globe,yes
pattern_completion,repeat_word,robin,robin robin,robin robin,yes
pattern_completion,repeat_word,grape,grape grape,grape grape,yes
