pair,layer,condition,n_positions,transfer_rate,preserve_rate,neither_rate
uppercase_first_letter,8,all_demo,31,0.0,0.4,0.6
uppercase_first_letter,8,input_only,15,0.0,1.0,0.0
uppercase_first_letter,8,output_only,16,0.0,0.3,0.7
uppercase_first_letter,8,last_demo,7,0.0,0.4,0.6
uppercase_first_letter,11,all_demo,31,0.0,0.3,0.7
uppercase_first_letter,11,input_only,15,0.0,1.0,0.0
uppercase_first_letter,11,output_only,16,0.0,0.2,0.8
uppercase_first_letter,11,last_demo,7,0.0,0.3,0.7
uppercase_first_letter,14,all_demo,31,0.0,0.2,0.8
uppercase_first_letter,14,input_only,15,0.0,1.0,0.0
uppercase_first_letter,14,output_only,16,0.0,0.3,0.7
uppercase_first_letter,14,last_demo,7,0.0,0.2,0.8
uppercase_first_letter,15,all_demo,31,0.0,0.3,0.7
uppercase_first_letter,15,input_only,15,0.0,1.0,0.0
uppercase_first_letter,15,output_only,16,0.0,0.3,0.7
uppercase_first_letter,15,last_demo,7,0.0,0.3,0.7
uppercase_repeat_word,8,all_demo,31,0.4,0.4,0.2
uppercase_repeat_word,8,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,8,output_only,16,0.0,0.3,0.7
uppercase_repeat_word,8,last_demo,7,0.0,1.0,0.0
uppercase_repeat_word,11,all_demo,31,0.0,0.3,0.7
uppercase_repeat_word,11,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,11,output_only,16,0.0,0.3,0.7
uppercase_repeat_word,11,last_demo,7,0.0,1.0,0.0
uppercase_repeat_word,14,all_demo,31,0.0,1.0,0.0
uppercase_repeat_word,14,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,14,output_only,16,0.0,1.0,0.0
uppercase_repeat_word,14,last_demo,7,0.0,1.0,0.0
uppercase_repeat_word,15,all_demo,31,0.0,1.0,0.0
uppercase_repeat_word,15,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,15,output_only,16,0.0,1.0,0.0
uppercase_repeat_word,15,last_demo,7,0.0,1.0,0.0
first_letter_repeat_word,8,all_demo,30,0.5,0.3,0.2
first_letter_repeat_word,8,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,8,output_only,15,0.0,0.1,0.9
first_letter_repeat_word,8,last_demo,6,0.0,1.0,0.0
first_letter_repeat_word,11,all_demo,30,0.1,0.7,0.2
first_letter_repeat_word,11,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,11,output_only,15,0.0,0.3,0.7
first_letter_repeat_word,11,last_demo,6,0.0,1.0,0.0
first_letter_repeat_word,14,all_demo,30,0.0,1.0,0.0
first_letter_repeat_word,14,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,14,output_only,15,0.0,1.0,0.0
first_letter_repeat_word,14,last_demo,6,0.0,1.0,0.0
first_letter_repeat_word,15,all_demo,30,0.0,1.0,0.0
first_letter_repeat_word,15,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,15,output_only,15,0.0,1.0,0.0
first_letter_repeat_word,15,last_demo,6,0.0,1.0,0.0
uppercase_sentiment,8,all_demo,31,0.0,0.5,0.5
uppercase_sentiment,8,input_only,15,0.0,1.0,0.0
uppercase_sentiment,8,output_only,16,0.0,0.3,0.7
uppercase_sentiment,8,last_demo,7,0.0,0.9,0.1
uppercase_sentiment,11,all_demo,31,0.0,0.7,0.3
uppercase_sentiment,11,input_only,15,0.0,1.0,0.0
uppercase_sentiment,11,output_only,16,0.0,1.0,0.0
uppercase_sentiment,11,last_demo,7,0.0,1.0,0.0
uppercase_sentiment,14,all_demo,31,0.0,1.0,0.0
uppercase_sentiment,14,input_only,15,0.0,1.0,0.0
uppercase_sentiment,14,output_only,16,0.0,1.0,0.0
uppercase_sentiment,14,last_demo,7,0.0,1.0,0.0
uppercase_sentiment,15,all_demo,31,0.0,1.0,0.0
uppercase_sentiment,15,input_only,15,0.0,1.0,0.0
uppercase_sentiment,15,output_only,16,0.0,1.0,0.0
