task,regime,accuracy,correct,incorrect,malformed,passes_threshold,elapsed_s
reverse,procedural,0.2200,11,39,0,False,50.6
uppercase,procedural,0.9000,45,5,0,True,42.8
pig_latin,procedural,0.1400,7,43,0,False,34.6
first_letter,procedural,0.7600,38,12,0,False,36.1
repeat_word,procedural,1.0000,50,0,0,True,36.9
length,counting,1.0000,50,0,0,True,41.8
linear_2x,gd_like,0.6600,33,17,0,False,39.6
sentiment,bayesian,1.0000,50,0,0,True,37.0
antonym,retrieval,0.9400,47,3,0,True,37.7
pattern_completion,induction,0.8600,43,7,0,True,39.1
