pair,layer,condition,n_positions,transfer_rate,preserve_rate,neither_rate
uppercase_first_letter,5,all_demo,34,0.0,0.0,1.0
uppercase_first_letter,5,input_only,15,0.0,1.0,0.0
uppercase_first_letter,5,output_only,19,0.0,0.0,1.0
uppercase_first_letter,5,last_demo,7,0.0,0.0,1.0
uppercase_first_letter,7,all_demo,34,0.0,0.0,1.0
uppercase_first_letter,7,input_only,15,0.0,0.7,0.3
uppercase_first_letter,7,output_only,19,0.0,0.0,1.0
uppercase_first_letter,7,last_demo,7,0.0,0.0,1.0
uppercase_first_letter,8,all_demo,34,0.0,0.0,1.0
uppercase_first_letter,8,input_only,15,0.0,0.7,0.3
uppercase_first_letter,8,output_only,19,0.0,0.0,1.0
uppercase_first_letter,8,last_demo,7,0.0,0.0,1.0
uppercase_first_letter,9,all_demo,34,0.0,0.0,1.0
uppercase_first_letter,9,input_only,15,0.0,0.6,0.4
uppercase_first_letter,9,output_only,19,0.0,0.0,1.0
uppercase_first_letter,9,last_demo,7,0.0,0.0,1.0
uppercase_repeat_word,5,all_demo,34,0.5,0.1,0.4
uppercase_repeat_word,5,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,5,output_only,19,0.3,0.1,0.6
uppercase_repeat_word,5,last_demo,7,0.0,1.0,0.0
uppercase_repeat_word,7,all_demo,34,0.3,0.2,0.5
uppercase_repeat_word,7,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,7,output_only,19,0.1,0.1,0.8
uppercase_repeat_word,7,last_demo,7,0.0,1.0,0.0
uppercase_repeat_word,8,all_demo,34,0.5,0.2,0.3
uppercase_repeat_word,8,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,8,output_only,19,0.6,0.1,0.3
uppercase_repeat_word,8,last_demo,7,0.0,1.0,0.0
uppercase_repeat_word,9,all_demo,34,0.0,1.0,0.0
uppercase_repeat_word,9,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,9,output_only,19,0.0,1.0,0.0
uppercase_repeat_word,9,last_demo,7,0.0,1.0,0.0
first_letter_repeat_word,5,all_demo,30,0.0,0.3,0.7
first_letter_repeat_word,5,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,5,output_only,15,0.0,0.2,0.8
first_letter_repeat_word,5,last_demo,6,0.0,1.0,0.0
first_letter_repeat_word,7,all_demo,30,0.0,1.0,0.0
first_letter_repeat_word,7,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,7,output_only,15,0.0,0.9,0.1
first_letter_repeat_word,7,last_demo,6,0.0,1.0,0.0
first_letter_repeat_word,8,all_demo,30,0.0,1.0,0.0
first_letter_repeat_word,8,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,8,output_only,15,0.0,1.0,0.0
first_letter_repeat_word,8,last_demo,6,0.0,1.0,0.0
first_letter_repeat_word,9,all_demo,30,0.0,1.0,0.0
first_letter_repeat_word,9,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,9,output_only,15,0.0,1.0,0.0
first_letter_repeat_word,9,last_demo,6,0.0,1.0,0.0
uppercase_sentiment,5,all_demo,34,0.0,0.0,1.0
uppercase_sentiment,5,input_only,15,0.0,1.0,0.0
uppercase_sentiment,5,output_only,19,0.0,0.3,0.7
uppercase_sentiment,5,last_demo,7,0.0,0.0,1.0
uppercase_sentiment,7,all_demo,34,0.0,0.0,1.0
uppercase_sentiment,7,input_only,15,0.0,1.0,0.0
uppercase_sentiment,7,output_only,19,0.0,0.3,0.7
uppercase_sentiment,7,last_demo,7,0.0,0.0,1.0
uppercase_sentiment,8,all_demo,34,0.0,0.3,0.7
uppercase_sentiment,8,input_only,15,0.0,1.0,0.0
uppercase_sentiment,8,output_only,19,0.0,0.3,0.7
uppercase_sentiment,8,last_demo,7,0.0,0.3,0.7
uppercase_sentiment,9,all_demo,34,0.0,0.3,0.7
uppercase_sentiment,9,input_only,15,0.0,1.0,0.0
