pair,source_regime,target_regime,layer,transfer_rate
uppercase_sentiment,procedural,bayesian,0,0.0
uppercase_sentiment,procedural,bayesian,1,0.0
uppercase_sentiment,procedural,bayesian,2,0.0
uppercase_sentiment,procedural,bayesian,3,0.0
uppercase_sentiment,procedural,bayesian,4,0.0
uppercase_sentiment,procedural,bayesian,5,0.0
uppercase_sentiment,procedural,bayesian,6,0.0
uppercase_sentiment,procedural,bayesian,7,0.0
uppercase_sentiment,procedural,bayesian,8,0.0
uppercase_sentiment,procedural,bayesian,9,0.0
uppercase_sentiment,procedural,bayesian,10,0.0
uppercase_sentiment,procedural,bayesian,11,0.0
uppercase_sentiment,procedural,bayesian,12,0.0
uppercase_sentiment,procedural,bayesian,13,0.0
uppercase_sentiment,procedural,bayesian,14,0.0
uppercase_sentiment,procedural,bayesian,15,0.0
uppercase_sentiment,procedural,bayesian,16,0.0
uppercase_sentiment,procedural,bayesian,17,0.0
uppercase_sentiment,procedural,bayesian,18,0.0
uppercase_sentiment,procedural,bayesian,19,0.0
uppercase_sentiment,procedural,bayesian,20,0.0
uppercase_sentiment,procedural,bayesian,21,0.0
uppercase_sentiment,procedural,bayesian,22,0.0
uppercase_sentiment,procedural,bayesian,23,0.0
uppercase_sentiment,procedural,bayesian,24,0.0
uppercase_sentiment,procedural,bayesian,25,0.0
uppercase_sentiment,procedural,bayesian,26,0.0
uppercase_sentiment,procedural,bayesian,27,0.0
linear_2x_pattern_completion,gd_like,induction,0,0.0
linear_2x_pattern_completion,gd_like,induction,1,0.0
linear_2x_pattern_completion,gd_like,induction,2,0.0
linear_2x_pattern_completion,gd_like,induction,3,0.0
linear_2x_pattern_completion,gd_like,induction,4,0.0
linear_2x_pattern_completion,gd_like,induction,5,0.0
linear_2x_pattern_completion,gd_like,induction,6,0.0
linear_2x_pattern_completion,gd_like,induction,7,0.0
linear_2x_pattern_completion,gd_like,induction,8,0.0
linear_2x_pattern_completion,gd_like,induction,9,0.0
linear_2x_pattern_completion,gd_like,induction,10,0.0
linear_2x_pattern_completion,gd_like,induction,11,0.0
linear_2x_pattern_completion,gd_like,induction,12,0.0
linear_2x_pattern_completion,gd_like,induction,13,0.0
linear_2x_pattern_completion,gd_like,induction,14,0.0
linear_2x_pattern_completion,gd_like,induction,15,0.0
linear_2x_pattern_completion,gd_like,induction,16,0.0
linear_2x_pattern_completion,gd_like,induction,17,0.0
linear_2x_pattern_completion,gd_like,induction,18,0.0
linear_2x_pattern_completion,gd_like,induction,19,0.0
linear_2x_pattern_completion,gd_like,induction,20,0.0
linear_2x_pattern_completion,gd_like,induction,21,0.0
linear_2x_pattern_completion,gd_like,induction,22,0.0
linear_2x_pattern_completion,gd_like,induction,23,0.0
linear_2x_pattern_completion,gd_like,induction,24,0.0
linear_2x_pattern_completion,gd_like,induction,25,0.0
linear_2x_pattern_completion,gd_like,induction,26,0.0
linear_2x_pattern_completion,gd_like,induction,27,0.0
sentiment_linear_2x,bayesian,gd_like,0,0.0
sentiment_linear_2x,bayesian,gd_like,1,0.0
sentiment_linear_2x,bayesian,gd_like,2,0.0
sentiment_linear_2x,bayesian,gd_like,3,0.0
sentiment_linear_2x,bayesian,gd_like,4,0.0
sentiment_linear_2x,bayesian,gd_like,5,0.0
sentiment_linear_2x,bayesian,gd_like,6,0.0
sentiment_linear_2x,bayesian,gd_like,7,0.0
sentiment_linear_2x,bayesian,gd_like,8,0.0
sentiment_linear_2x,bayesian,gd_like,9,0.0
sentiment_linear_2x,bayesian,gd_like,10,0.0
sentiment_linear_2x,bayesian,gd_like,11,0.0
sentiment_linear_2x,bayesian,gd_like,12,0.0
sentiment_linear_2x,bayesian,gd_like,13,0.0
sentiment_linear_2x,bayesian,gd_like,14,0.0
sentiment_linear_2x,bayesian,gd_like,15,0.0
sentiment_linear_2x,bayesian,gd_like,16,0.0
sentiment_linear_2x,bayesian,gd_like,17,0.0
sentiment_linear_2x,bayesian,gd_like,18,0.0
sentiment_linear_2x,bayesian,gd_like,19,0.0
sentiment_linear_2x,bayesian,gd_like,20,0.0
sentiment_linear_2x,bayesian,gd_like,21,0.0
sentiment_linear_2x,bayesian,gd_like,22,0.0
sentiment_linear_2x,bayesian,gd_like,23,0.0
sentiment_linear_2x,bayesian,gd_like,24,0.0
sentiment_linear_2x,bayesian,gd_like,25,0.0
sentiment_linear_2x,bayesian,gd_like,26,0.0
sentiment_linear_2x,bayesian,gd_like,27,0.0
first_letter_antonym,procedural,retrieval,0,0.0
first_letter_antonym,procedural,retrieval,1,0.0
first_letter_antonym,procedural,retrieval,2,0.0
first_letter_antonym,procedural,retrieval,3,0.0
first_letter_antonym,procedural,retrieval,4,0.0
first_letter_antonym,procedural,retrieval,5,0.0
first_letter_antonym,procedural,retrieval,6,0.0
first_letter_antonym,procedural,retrieval,7,0.0
first_letter_antonym,procedural,retrieval,8,0.0
first_letter_antonym,procedural,retrieval,9,0.0
first_letter_antonym,procedural,retrieval,10,0.0
first_letter_antonym,procedural,retrieval,11,0.0
first_letter_antonym,procedural,retrieval,12,0.0
first_letter_antonym,procedural,retrieval,13,0.0
first_letter_antonym,procedural,retrieval,14,0.0
first_letter_antonym,procedural,retrieval,15,0.0
first_letter_antonym,procedural,retrieval,16,0.0
first_letter_antonym,procedural,retrieval,17,0.0
first_letter_antonym,procedural,retrieval,18,0.0
first_letter_antonym,procedural,retrieval,19,0.0
first_letter_antonym,procedural,retrieval,20,0.0
first_letter_antonym,procedural,retrieval,21,0.0
first_letter_antonym,procedural,retrieval,22,0.0
first_letter_antonym,procedural,retrieval,23,0.0
first_letter_antonym,procedural,retrieval,24,0.0
first_letter_antonym,procedural,retrieval,25,0.0
first_letter_antonym,procedural,retrieval,26,0.0
first_letter_antonym,procedural,retrieval,27,0.0
