pair,layer,condition,n_positions,transfer_rate,preserve_rate,neither_rate
uppercase_first_letter,8,all_demo,34,0.0,0.0,1.0
uppercase_first_letter,8,input_only,15,0.1,0.7,0.2
uppercase_first_letter,8,output_only,19,0.1,0.0,0.9
uppercase_first_letter,8,last_demo,7,0.0,0.0,1.0
uppercase_first_letter,12,all_demo,34,0.0,0.0,1.0
uppercase_first_letter,12,input_only,15,0.0,0.4,0.6
uppercase_first_letter,12,output_only,19,0.0,0.0,1.0
uppercase_first_letter,12,last_demo,7,0.0,0.0,1.0
uppercase_first_letter,15,all_demo,34,0.0,0.0,1.0
uppercase_first_letter,15,input_only,15,0.0,0.9,0.1
uppercase_first_letter,15,output_only,19,0.0,0.0,1.0
uppercase_first_letter,15,last_demo,7,0.0,0.0,1.0
uppercase_first_letter,17,all_demo,34,0.0,0.0,1.0
uppercase_first_letter,17,input_only,15,0.0,0.6,0.4
uppercase_first_letter,17,output_only,19,0.0,0.0,1.0
uppercase_first_letter,17,last_demo,7,0.0,0.0,1.0
uppercase_repeat_word,8,all_demo,34,0.9,0.0,0.1
uppercase_repeat_word,8,input_only,15,0.0,0.4,0.6
uppercase_repeat_word,8,output_only,19,0.9,0.0,0.1
uppercase_repeat_word,8,last_demo,7,0.2,0.1,0.7
uppercase_repeat_word,12,all_demo,34,0.7,0.0,0.3
uppercase_repeat_word,12,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,12,output_only,19,0.7,0.0,0.3
uppercase_repeat_word,12,last_demo,7,0.0,1.0,0.0
uppercase_repeat_word,15,all_demo,34,0.5,0.0,0.5
uppercase_repeat_word,15,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,15,output_only,19,0.5,0.0,0.5
uppercase_repeat_word,15,last_demo,7,0.0,1.0,0.0
uppercase_repeat_word,17,all_demo,34,0.0,0.0,1.0
uppercase_repeat_word,17,input_only,15,0.0,1.0,0.0
uppercase_repeat_word,17,output_only,19,0.0,0.0,1.0
uppercase_repeat_word,17,last_demo,7,0.0,1.0,0.0
